Time,Motor,Trailer,Parts,Total Wages of production workers,Revenue in Billions,Expenditure,Fixed investments,Revenue,Profit,Share,Employment,EIT,Other wages,Profit captured by all workers,
2007Q1,4843122,1718183,8737169,15298474000,440.6,23059149700,1.699E+11,4.41E+11,2.03544E+11,0.061677,3065500,3065.5,29198688000,0.179394491,0.820605509
2007Q2,4424858,1726733,8063796,14215387000,445.8,22260016200,1.577E+11,4.46E+11,2.21574E+11,0.053433,3008700,3008.7,30250471000,0.167139756,0.832860244
2007Q3,4072465,1643972,7640984,13357421000,440.5,19701163600,1.521E+11,4.41E+11,2.25648E+11,0.049619,2962400,2962.4,30193518000,0.161779819,0.838220181
2007Q4,4453272,1687198,8016713,14157183000,442.8,21076618400,1.482E+11,4.43E+11,2.2785E+11,0.051721,2893900,2893.9,31715735000,0.167588599,0.832411401
2008Q1,3969403,1675457,7464855,13109715000,414.2,22393667600,1.399E+11,4.14E+11,2.09538E+11,0.052083,2813100,2813.1,29058179000,0.167528141,0.832471859
2008Q2,3882733,1633586,7201607,12717926000,387.5,20856092400,1.232E+11,3.88E+11,2.01749E+11,0.052135,2704400,2704.4,29476691000,0.172968521,0.827031479
2008Q3,3722055,1429813,6662881,11814749000,362.9,21776294700,1.018E+11,3.63E+11,1.98872E+11,0.049347,2576300,2576.3,28737163000,0.169373003,0.830626997
2008Q4,3906865,1424812,6932874,12264551000,299.1,17818941900,72200000000,2.99E+11,1.68233E+11,0.058687,2412700,2412.7,28483475000,0.194984303,0.805015697
2009Q1,3058640,1119422,5287129,9465191000,238.1,8806170800,36700000000,2.38E+11,1.57916E+11,0.049171,2106100,2106.1,25112269000,0.179628927,0.820371073
2009Q2,2806501,1138380,5222904,9167785000,248.6,10216581900,32800000000,2.49E+11,1.71331E+11,0.044507,1942700,1942.7,25485025000,0.168231066,0.831768934
2009Q3,2802931,1115804,5089096,9007831000,306.6,13407807200,34200000000,3.07E+11,2.24226E+11,0.034727,1959400,1959.4,26158354000,0.135571486,0.864428514
2009Q4,3286839,1275698,5943978,10506515000,322.7,16446737100,55200000000,3.23E+11,2.13387E+11,0.0418,1962600,1962.6,27459529000,0.151046553,0.848953447
2010Q1,2702079,1137993,5071026,8911098000,347.1,16748501400,79600000000,3.47E+11,2.17507E+11,0.035552,1982400,1982.4,24233764000,0.132234845,0.867765155
2010Q2,3037701,1288752,5480263,9806716000,363.8,17257911000,97700000000,3.64E+11,2.12657E+11,0.039378,2028400,2028.4,26578479000,0.146100585,0.853899415
2010Q3,2832005,1255155,5545498,9632658000,382.7,15731841200,1.136E+11,3.83E+11,2.1699E+11,0.037973,2057200,2057.2,27045926000,0.144592779,0.855407221
2010Q4,3237402,1359989,6266589,10863980000,387.4,15176166000,1.239E+11,3.87E+11,2.07531E+11,0.04382,2071900,2071.9,29529193000,0.162925735,0.837074265
2011Q1,3262042,1224213,6129023,10615278000,398.1,16583005800,1.327E+11,3.98E+11,2.12036E+11,0.04268,2118100,2118.1,26065724000,0.147480883,0.852519117
2011Q2,2989195,1272205,5895738,10157138000,384.8,16895881900,1.308E+11,3.85E+11,1.98995E+11,0.042802,2136900,2136.9,28151995000,0.161434759,0.838565241
2011Q3,3027902,1298241,6062337,10388480000,396.5,17587468300,1.455E+11,3.97E+11,1.94167E+11,0.044412,2154600,2154.6,29356983000,0.16991592,0.83008408
2011Q4,3781775,1308978,6676513,11767266000,422.4,20852665300,1.529E+11,4.22E+11,2.06079E+11,0.047401,2204700,2204.7,30400678000,0.169862625,0.830137375
2012Q1,3551051,1372900,6765449,11689400000,450.6,24820045700,1.624E+11,4.51E+11,2.23226E+11,0.044315,2267500,2267.5,28864178000,0.153740181,0.846259819
2012Q2,3478726,1421602,6612356,11512684000,453.3,25542509500,1.677E+11,4.53E+11,2.18591E+11,0.044321,2323800,2323.8,29654143000,0.158481771,0.841518229
2012Q3,3077863,1381020,6307484,10766367000,449.7,24049516000,1.726E+11,4.5E+11,2.12838E+11,0.042496,2366500,2366.5,29745999000,0.159906409,0.840093591
2012Q4,3690760,1521516,6978185,12190461000,457.3,24740105200,1.789E+11,4.57E+11,2.0913E+11,0.048115,2370200,2370.2,32039833000,0.174574962,0.825425038
2013Q1,3852460,1445608,7033321,12331389000,476.3,26876255000,1.887E+11,4.76E+11,2.18478E+11,0.047351,2417800,2417.8,29614340000,0.161067221,0.838932779
2013Q2,3663792,1522584,6867431,12053807000,481.7,27710087800,1.915E+11,4.82E+11,2.19649E+11,0.045869,2457100,2457.1,31086617000,0.164163166,0.835836834
2013Q3,3316653,1470577,6674769,11461999000,461.2,24289980100,1.894E+11,4.61E+11,2.04345E+11,0.046347,2481700,2481.7,31502724000,0.173728194,0.826271806
2013Q4,3855250,1623983,7422701,12901934000,489.4,25640648900,1.955E+11,4.89E+11,2.21505E+11,0.048167,2542200,2542.2,33452642000,0.173055657,0.826944343
2014Q1,4115911,1583548,7633298,13332757000,492.5,26050513700,1.984E+11,4.93E+11,2.23936E+11,0.049647,2561900,2561.9,31281157000,0.16612921,0.83387079
2014Q2,3909943,1670941,7496977,13077861000,512.1,25417782300,2.125E+11,5.12E+11,2.27781E+11,0.047715,2595800,2595.8,33223498000,0.168932371,0.831067629
2014Q3,3556733,1662811,7188754,12408298000,531,24549466100,2.19E+11,5.31E+11,2.41596E+11,0.043167,2641300,2641.3,33445952000,0.15952049,0.84047951
2014Q4,4236397,1809802,8079478,14125677000,527.6,25057080700,2.176E+11,5.28E+11,2.35058E+11,0.049504,2665100,2665.1,36159700000,0.176227877,0.823772123
2015Q1,3934145,1726890,8006988,13668023000,532.9,25306700300,2.289E+11,5.33E+11,2.31888E+11,0.049026,2687300,2687.3,33237173000,0.168243627,0.831756373
2015Q2,3918438,1786048,7891069,13595555000,555.8,27015589600,2.372E+11,5.56E+11,2.42884E+11,0.046595,2724800,2724.8,35304593000,0.167589995,0.832410005
2015Q3,3423157,1715757,7590094,12729008000,579.6,24716305200,2.504E+11,5.8E+11,2.56315E+11,0.04175,2769600,2769.6,35839196000,0.159300759,0.840699241
2015Q3,4836798,1988118,9001219,15826135000,547,23358084200,2.474E+11,5.47E+11,2.21295E+11,0.057291,2781500,2781.5,39120948000,0.198909289,0.801090711
2015Q4,4260477,1793423,8262615,14316515000,560,24696341400,2.477E+11,5.6E+11,2.38664E+11,0.049779,2797200,2797.2,34623580000,0.170165064,0.829834936
2016Q1,4393614,1923978,8266518,14584110000,561.2,25299967800,2.366E+11,5.61E+11,2.47883E+11,0.04876,2825100,2825.1,36633243000,0.171238206,0.828761794
2016Q2,3962812,1905101,8387621,14255534000,565.8,23685702100,2.335E+11,5.66E+11,2.56213E+11,0.046162,2856600,2856.6,38345623000,0.170332648,0.829667352
2016Q3,4229519,1992165,8632521,14854205000,567.5,22196731800,2.28E+11,5.68E+11,2.63934E+11,0.04674,2852000,2852,39015387000,0.169506098,0.830493902
2016Q4,4602992,1958811,9077706,15639509000,552.9,20604313800,2.193E+11,5.53E+11,2.60348E+11,0.049951,2864000,2864,37107790000,0.16847022,0.83152978
2017Q1,4357019,2010967,8481195,14849181000,562,19969220300,2.174E+11,5.62E+11,2.7174E+11,0.045742,2883500,2883.5,38041880000,0.162926821,0.837073179
2017Q2,3980976,1992278,8105907,14079161000,555,15702617600,2.209E+11,5.55E+11,2.66254E+11,0.044219,2880600,2880.6,38064688000,0.163769716,0.836230284
2017Q3,4428961,2209561,8870092,15508614000,600.4,16188330800,2.328E+11,6E+11,2.95123E+11,0.044183,2932500,2932.5,40380431000,0.159222755,0.840777245
2017Q4,4971096,2201058,9572144,16744298000,594.6,17458342300,2.334E+11,5.95E+11,2.88887E+11,0.048655,2971900,2971.9,38510544000,0.160558423,0.839441577
2018Q1,4670519,2180393,8897507,15748419000,614.1,17528412100,2.442E+11,6.14E+11,2.96798E+11,0.044705,2989400,2989.4,39725295000,0.157474278,0.842525722
2018Q2,4271439,2104176,8590776,14966391000,613.6,14194723400,2.444E+11,6.14E+11,3.00368E+11,0.042111,2996300,2996.3,40070501000,0.15485671,0.84514329
2018Q3,4943603,2220587,9267231,16431421000,614,16430587000,2.497E+11,6.14E+11,2.89698E+11,0.047234,3023700,3023.7,41739576000,0.167220787,0.832779213
2018Q4,4999033,2073522,9500383,16572938000,597.8,15881356900,2.605E+11,5.98E+11,2.65059E+11,0.05153,3032600,3032.6,39986456000,0.175858568,0.824141432
2019Q1,4899076,2145273,9012024,16056373000,610.4,16205895700,2.643E+11,6.1E+11,2.71855E+11,0.04873,3004800,3004.8,41582334000,0.174930921,0.825069079
2019Q3,4345500,2061628,8528485,14935613000,622.2,14774431800,2.589E+11,6.22E+11,2.91508E+11,0.042878,2971800,2971.8,41882365000,0.163117449,0.836882551
2019Q4,5688401,2229812,9364548,17282761000,579.3,15154450300,2.423E+11,5.79E+11,2.60693E+11,0.053749,2911400,2911.4,43569520000,0.189249334,0.810750666
2020Q1,5111178,2130563,9153125,16394866000,540.9,14687343300,1.955E+11,5.41E+11,2.72775E+11,0.049559,2947100,2947.1,41643166000,0.175440784,0.824559216
2020Q2,3327932,1528668,5554589,10411189000,333.6,5079291600,1.284E+11,3.34E+11,1.54274E+11,0.051921,2167200,2167.2,35835415000,0.230632558,0.769367442
2020Q3,4747117,1963034,8109706,14819857000,630,14998935700,1.6E+11,6.3E+11,3.97738E+11,0.032571,2734300,2734.3,42442975000,0.125852084,0.874147916
2020Q4,5809865,2327848,9325986,17463699000,571.7,14152487000,1.73E+11,5.72E+11,3.20405E+11,0.045378,2799500,2799.5,46978666000,0.167449088,0.832550912
2021Q1,5078014,2212094,8262499,15552607000,598.5,11834514400,1.815E+11,5.99E+11,3.47995E+11,0.038339,2868200,2868.2,42117600000,0.142161976,0.857838024
2021Q2,4978742,2340683,8150782,15470207000,581.2,10804336600,1.945E+11,5.81E+11,3.10508E+11,0.041177,2780100,2780.1,49717658000,0.173512423,0.826487577
2021Q3,4845363,2387487,8195266,15428116000,507.6,9521971400,1.724E+11,5.08E+11,2.5997E+11,0.047314,2890600,2890.6,50680132000,0.202737511,0.797262489
2021Q4,5965305,2765743,9190863,17921911000,544.7,11700707500,1.541E+11,5.45E+11,3.05181E+11,0.047263,2979400,2979.4,56096378000,0.195196274,0.804803726
2022Q1,5856213,2680976,9014969,17552158000,537.2,12076386400,1.576E+11,5.37E+11,2.99291E+11,0.047784,2961600,2961.6,50480012000,0.185210445,0.814789555
2022Q1,6183564,2749589,8994874,17928027000,540.7,13058573800,1.634E+11,5.41E+11,2.92617E+11,0.04918,2993900,2993.9,53996129000,0.197300364,0.802699636
2022Q3,6335203,2618553,9331829,18285585000,556.2,13098600300,1.743E+11,5.56E+11,2.94764E+11,0.049608,3031100,3031.1,55551615000,0.200317199,0.799682801
2022Q4,6152791,2561521,9546407,18260719000,556.2,12452038800,1.847E+11,5.56E+11,2.8456E+11,0.050887,3080000,3080,56027454000,0.207018518,0.792981482
2023Q1,7123838,2623714,10012334,19759886000,587.6,13435412700,1.995E+11,5.88E+11,3.01563E+11,0.052684,3078600,3078.6,53741278000,0.195969352,0.804030648
2023Q2,6511092,2539984,9748975,18800051000,606.2,13570834100,2.267E+11,6.06E+11,2.91798E+11,0.051404,3088500,3088.5,55130674000,0.202146101,0.797853899
2023Q3,6457946,2462593,9381763,18302302000,593.4,12712767700,2.301E+11,5.93E+11,2.76808E+11,0.052264,3077200,3077.2,55077061000,0.209543228,0.790456772
2023Q4,7049742,2662196,9970567,19682505000,563,12855398300,2.268E+11,5.63E+11,2.4671E+11,0.060872,3053100,3053.1,56952493000,0.237007198,0.762992802
2024Q1,7868371,2771057,10485211,21124639000,567.8,11691834300,2.289E+11,5.68E+11,2.51097E+11,0.064521,3062000,3062,55186859000,0.233077565,0.766922435
2024Q2,7325878,2644768,10146406,20117052000,594.4,10599091900,2.321E+11,5.94E+11,2.75378E+11,0.057264,3066600,3066.6,55806070000,0.216119914,0.783880086
2024Q3,6835352,2491118,9390713,18717183000,565.1,10286307400,2.192E+11,5.65E+11,2.61478E+11,0.055787,3063500,3063.5,55318560000,0.22066385,0.77933615
